"Freq. I(V1)"
"1.13500000000000e+04   (-2.12973360466449e+02dB,-2.73637348219447e+01°)"
"1.14000000000000e+04   (-2.14912014597046e+02dB,-2.90844804989050e+01°)"
"1.14500000000000e+04   (-2.13964587500562e+02dB,-3.65570091477577e+01°)"
"1.15000000000000e+04   (-2.14594057950238e+02dB,-4.11803791518106e+01°)"
"1.15500000000000e+04   (-2.15330711529404e+02dB,-4.58247727079477e+01°)"
"1.16000000000000e+04   (-2.16194336405988e+02dB,-5.04903534667230e+01°)"
"1.16500000000000e+04   (-2.17213747472671e+02dB,-5.52213591364752e+01°)"
"1.17000000000000e+04   (-2.18429923368885e+02dB,-6.00111342240183e+01°)"
"1.17500000000000e+04   (-2.19907948983546e+02dB,-6.49097950595285e+01°)"
"1.18000000000000e+04   (-2.18326808820741e+02dB,-4.58761962040662e+01°)"
"1.18500000000000e+04   (-2.24164688469717e+02dB,-7.55115997604103e+01°)"
"1.19000000000000e+04   (-2.27594118165911e+02dB,-8.19599763614310e+01°)"
"1.19500000000000e+04   (-2.33387120427155e+02dB,-9.21449100001487e+01°)"
"1.20000000000000e+04   (-2.56826507213591e+02dB,-1.58587107748756e+02°)"
"1.20500000000000e+04   (-2.33653772101027e+02dB,1.02351254645124e+02°)"
"1.21000000000000e+04   (-2.27730995721449e+02dB,9.18943341128426e+01°)"
"1.21500000000000e+04   (-2.24255715219657e+02dB,8.53943048187740e+01°)"
"1.22000000000000e+04   (-2.18145169734762e+02dB,5.77721108526175e+01°)"
"1.22500000000000e+04   (-2.19960916802387e+02dB,7.47626872316230e+01°)"
"1.23000000000000e+04   (-2.18473171880345e+02dB,6.98600539350389e+01°)"
"1.23500000000000e+04   (-2.17249862877809e+02dB,6.50677009569531e+01°)"
"1.24000000000000e+04   (-2.16225073779413e+02dB,6.03344824549552e+01°)"
"1.24500000000000e+04   (-2.15356896141999e+02dB,5.56682516194741e+01°)"
"1.25000000000000e+04   (-2.14616565335291e+02dB,5.10230408764048e+01°)"
"1.25500000000000e+04   (-2.13983939115095e+02dB,4.63991133233912e+01°)"
"1.26000000000000e+04   (-2.14871550767566e+02dB,3.78587268141010e+01°)"
"1.26500000000000e+04   (-2.12987654140284e+02dB,3.72048309981535e+01°)"
"1.27000000000000e+04   (-2.12604227066696e+02dB,3.26151326155287e+01°)"
"1.27500000000000e+04   (-2.12288526810567e+02dB,2.80297438124814e+01°)"
"1.28000000000000e+04   (-2.12035251155165e+02dB,2.34482731025673e+01°)"
"1.28500000000000e+04   (-2.11842265390912e+02dB,1.88448215456451e+01°)"
"1.29000000000000e+04   (-2.11705464597420e+02dB,1.42120393922224e+01°)"
"1.29500000000000e+04   (-2.11623261106170e+02dB,9.42956625536398e+00°)"
"1.30000000000000e+04   (-1.86030346676165e+02dB,-1.74039023090352e+02°)"
"1.30500000000000e+04   (-2.11622923419175e+02dB,1.23124596931124e+00°)"
"1.31000000000000e+04   (-2.11702602671219e+02dB,-3.55123458553529e+00°)"
"1.31500000000000e+04   (-2.11837311870387e+02dB,-8.18394709486667e+00°)"
"1.32000000000000e+04   (-2.12028333928189e+02dB,-1.27886979407824e+01°)"
"1.32500000000000e+04   (-2.12279421068363e+02dB,-1.73685994608765e+01°)"
"1.33000000000000e+04   (-2.12592892440795e+02dB,-2.19537853793156e+01°)"
"1.33500000000000e+04   (-2.12973896305887e+02dB,-2.65432485635288e+01°)"
"1.34000000000000e+04   (-2.14916583929991e+02dB,-2.83543984192865e+01°)"
"1.34500000000000e+04   (-2.13964718176617e+02dB,-3.57364173441208e+01°)"
"1.35000000000000e+04   (-2.14593933203709e+02dB,-4.03597263647495e+01°)"
"1.35500000000000e+04   (-2.15330288149583e+02dB,-4.50040353427025e+01°)"
"1.36000000000000e+04   (-2.16193542526824e+02dB,-4.96695509932015e+01°)"
"1.36500000000000e+04   (-2.17212514958170e+02dB,-5.44003399897230e+01°)"
"1.37000000000000e+04   (-2.18428108760051e+02dB,-5.91898704715103e+01°)"
"1.37500000000000e+04   (-2.19905341019833e+02dB,-6.40881617363329e+01°)"
"1.38000000000000e+04   (-2.18344280184155e+02dB,-4.48848010278464e+01°)"
"1.38500000000000e+04   (-2.24158981363021e+02dB,-7.46873549722689e+01°)"
"1.39000000000000e+04   (-2.27584694284694e+02dB,-8.11313508508151e+01°)"
"1.39500000000000e+04   (-2.33367289471866e+02dB,-9.12941218792891e+01°)"
"1.40000000000000e+04   (-2.56704138701845e+02dB,-1.55228694960114e+02°)"
"1.40500000000000e+04   (-2.33677879445661e+02dB,1.03201454208185e+02°)"
"1.41000000000000e+04   (-2.27744127435190e+02dB,9.27218924771882e+01°)"
"1.41500000000000e+04   (-2.24265013403778e+02dB,8.62177413479178e+01°)"
"1.42000000000000e+04   (-2.18132281971862e+02dB,5.87642159211389e+01°)"
"1.42500000000000e+04   (-2.19967051342658e+02dB,7.55838225643039e+01°)"
"1.43000000000000e+04   (-2.18478502852024e+02dB,7.06809064333555e+01°)"
"1.43500000000000e+04   (-2.17254605300542e+02dB,6.58883743634043e+01°)"
"1.44000000000000e+04   (-2.16229373930053e+02dB,6.11550078413874e+01°)"
"1.44500000000000e+04   (-2.15360821965969e+02dB,5.64887363999619e+01°)"
"1.45000000000000e+04   (-2.14620190146725e+02dB,5.18434761097851e+01°)"
"1.45500000000000e+04   (-2.13987306589952e+02dB,4.72195182129688e+01°)"
"1.46000000000000e+04   (-2.14869416695799e+02dB,3.85917826469331e+01°)"
"1.46500000000000e+04   (-2.12990612973473e+02dB,3.80251757728587e+01°)"
"1.47000000000000e+04   (-2.12607006934611e+02dB,3.34354714974024e+01°)"
"1.47500000000000e+04   (-2.12291144669585e+02dB,2.88500779781066e+01°)"
